ano;sigla_uf;id_municipio;populacao;id_municipio_6;nome;sigla_uf;nome_uf
2018;RO;1100015;23167;110001;Alta Floresta D'Oeste;RO;Rondônia
2018;RO;1100023;106168;110002;Ariquemes;RO;Rondônia
2018;RO;1100031;5438;110003;Cabixi;RO;Rondônia
2018;RO;1100049;84813;110004;Cacoal;RO;Rondônia
2018;RO;1100056;16444;110005;Cerejeiras;RO;Rondônia
2018;RO;1100064;16227;110006;Colorado do Oeste;RO;Rondônia
2018;RO;1100072;7567;110007;Corumbiara;RO;Rondônia
2018;RO;1100080;17855;110008;Costa Marques;RO;Rondônia
2018;RO;1100098;32047;110009;Espigão D'Oeste;RO;Rondônia
2018;RO;1100106;45783;110010;Guajará-Mirim;RO;Rondônia
2018;RO;1100114;51933;110011;Jaru;RO;Rondônia
2018;RO;1100122;127907;110012;Ji-Paraná;RO;Rondônia
2018;RO;1100130;39097;110013;Machadinho D'Oeste;RO;Rondônia
2018;RO;1100148;20459;110014;Nova Brasilândia D'Oeste;RO;Rondônia
2018;RO;1100155;36340;110015;Ouro Preto do Oeste;RO;Rondônia
2018;RO;1100189;36434;110018;Pimenta Bueno;RO;Rondônia
2018;RO;1100205;519531;110020;Porto Velho;RO;Rondônia
2018;RO;1100254;19409;110025;Presidente Médici;RO;Rondônia
2018;RO;1100262;3723;110026;Rio Crespo;RO;Rondônia
2018;RO;1100288;54702;110028;Rolim de Moura;RO;Rondônia
2018;RO;1100296;6781;110029;Santa Luzia D'Oeste;RO;Rondônia
2018;RO;1100304;97448;110030;Vilhena;RO;Rondônia
2018;RO;1100320;22931;110032;São Miguel do Guaporé;RO;Rondônia
2018;RO;1100338;29757;110033;Nova Mamoré;RO;Rondônia
2018;RO;1100346;14722;110034;Alvorada D'Oeste;RO;Rondônia
2018;RO;1100379;13227;110037;Alto Alegre dos Parecis;RO;Rondônia
2018;RO;1100403;20999;110040;Alto Paraíso;RO;Rondônia
2018;RO;1100452;38937;110045;Buritis;RO;Rondônia
2018;RO;1100502;8751;110050;Novo Horizonte do Oeste;RO;Rondônia
2018;RO;1100601;6190;110060;Cacaulândia;RO;Rondônia
2018;RO;1100700;14009;110070;Campo Novo de Rondônia;RO;Rondônia
2018;RO;1100809;25983;110080;Candeias do Jamari;RO;Rondônia
2018;RO;1100908;3119;110090;Castanheiras;RO;Rondônia
2018;RO;1100924;10886;110092;Chupinguaia;RO;Rondônia
2018;RO;1100940;24226;110094;Cujubim;RO;Rondônia
2018;RO;1101005;8095;110100;Governador Jorge Teixeira;RO;Rondônia
2018;RO;1101104;10272;110110;Itapuã do Oeste;RO;Rondônia
2018;RO;1101203;9762;110120;Ministro Andreazza;RO;Rondônia
2018;RO;1101302;11080;110130;Mirante da Serra;RO;Rondônia
2018;RO;1101401;15695;110140;Monte Negro;RO;Rondônia
2018;RO;1101435;7047;110143;Nova União;RO;Rondônia
2018;RO;1101450;5947;110145;Parecis;RO;Rondônia
2018;RO;1101468;2191;110146;Pimenteiras do Oeste;RO;Rondônia
2018;RO;1101476;2939;110147;Primavera de Rondônia;RO;Rondônia
2018;RO;1101484;5280;110148;São Felipe D'Oeste;RO;Rondônia
2018;RO;1101492;19842;110149;São Francisco do Guaporé;RO;Rondônia
2018;RO;1101500;11860;110150;Seringueiras;RO;Rondônia
2018;RO;1101559;4384;110155;Teixeirópolis;RO;Rondônia
2018;RO;1101609;10494;110160;Theobroma;RO;Rondônia
2018;RO;1101708;11665;110170;Urupá;RO;Rondônia
2018;RO;1101757;11028;110175;Vale do Anari;RO;Rondônia
2018;RO;1101807;6998;110180;Vale do Paraíso;RO;Rondônia
2018;AC;1200013;15020;120001;Acrelândia;AC;Acre
2018;AC;1200054;7300;120005;Assis Brasil;AC;Acre
2018;AC;1200104;25848;120010;Brasiléia;AC;Acre
2018;AC;1200138;10111;120013;Bujari;AC;Acre
2018;AC;1200179;11456;120017;Capixaba;AC;Acre
2018;AC;1200203;87673;120020;Cruzeiro do Sul;AC;Acre
2018;AC;1200252;18122;120025;Epitaciolândia;AC;Acre
2018;AC;1200302;34675;120030;Feijó;AC;Acre
2018;AC;1200328;8159;120032;Jordão;AC;Acre
2018;AC;1200336;18638;120033;Mâncio Lima;AC;Acre
2018;AC;1200344;9336;120034;Manoel Urbano;AC;Acre
